app_id,title,release_date,genres,categories,developer_id,publisher_id,original_price
1517930,Bonkey Trek Quimdung Edition,2021-03-11,"Adventure, Indie","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing, Profile Features Limited",8618,19393,"11,94"
1518630,Pretty Girls Panic! PLUS,2021-03-09,Casual,"Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing, Profile Features Limited",24570,20327,15
1518640,VR Girls’ Room in Darkness,2021-01-26,Adventure,"Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",23785,19661,"11,94"
1519040,Kombi Travels - Jigsaw Landscapes,2021-04-07,"Adventure, Casual","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",18419,15256,"5,1"
1519470,Endless Furry Killer 3D,2021-01-25,"Action, Adventure, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Leaderboards, Family Sharing, Profile Features Limited",21472,17714,"6,3"
1520250,Gnome Jigsaw Puzzles,2021-01-29,"Adventure, Casual, Indie, Strategy","Single-player, Family Sharing, Profile Features Limited",3015,2479,"6,3"
1520510,Itadaki Smash,2021-05-20,"Action, Indie","Single-player, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, Family Sharing, Profile Features Limited",13107,10858,"27,54"
1521100,Casual Pro Wrestling,2023-12-21,"Action, Casual, Indie, Sports, Early Access","Single-player, Shared/Split Screen PvP, Steam Workshop, Steam Cloud, Remote Play Together, Family Sharing",16139,13362,"41,4"
1522120,Thrilling Triple Treat,2021-03-07,"Action, Adventure, Casual, Indie","Single-player, Family Sharing",6886,13928,"20,94"
1522230,Wild West Crops,2021-02-16,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",12346,10214,15
1522560,100 hidden mice,2021-01-27,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing",1102,919,"3,12"
1522820,Orcs Must Die! 3,2021-07-23,"Action, Adventure, Indie, Strategy","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",18195,15070,"41,94"
1523360,VR Parallel World,2021-03-14,Casual,"Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",16082,13321,"20,94"
1523650,Stargate: Timekeepers,2024-01-23,Strategy,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",19601,16231,78
1524400,Ragdoll: Fall Simulator,2021-07-23,"Indie, Simulation","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",1143,952,"49,74"
1524650,Sakura Forest Girls,2021-04-19,Simulation,"Single-player, Family Sharing",23827,19695,"20,94"
1525190,Monster Outbreak,2022-10-03,"Action, Adventure, Indie, RPG, Strategy","Single-player, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Cloud, Family Sharing",8317,6436,"41,4"
1525330,Guardians of Hyelore,2021-09-29,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",13565,6436,"93,54"
1525440,VR Shooting Range: Multiple Weapons,2021-02-01,Casual,"Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",23785,19661,"5,1"
1525770,The Dark Side of the Moon: An Interactive FMV Thriller,2021-03-12,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Captions available, Family Sharing",21206,17511,27
1526430,Carth,2024-05-15,"Action, Adventure, Indie, Massively Multiplayer, RPG, Strategy, Early Access","Single-player, Online PvP, Online Co-op, Family Sharing, Steam is learning about this game",5452,4436,66
1527460,Shadow of Azrael,2021-03-05,"Action, Indie","Single-player, Shared/Split Screen PvP, Family Sharing, Profile Features Limited",6153,5017,15
1528810,Exodus Borealis,2021-11-18,Strategy,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",19677,16295,"52,8"
1530670,Buyhads,2021-02-05,"Action, Adventure, Casual, Indie","Single-player, Family Sharing, Profile Features Limited",1040,13621,"20,94"
1531000,Crime Stories 2: In the Shadows,2021-02-06,Casual,"Single-player, Family Sharing, Profile Features Limited",6373,7912,"13,14"
1531720,Need for Drive - Open World Multiplayer Racing,2021-02-17,"Adventure, Casual, Indie, Massively Multiplayer, Racing, Simulation, Sports","Single-player, MMO, Online PvP, Cross-Platform Multiplayer, Steam Trading Cards, Captions available, In-App Purchases, Stats, Commentary available, Remote Play Together, Family Sharing",1762,1447,"3,12"
1531750,Highway Traffic Racer,2021-03-05,"Indie, Racing, Simulation, Sports, Strategy","Single-player, Remote Play Together, Family Sharing, Profile Features Limited",1773,1454,"3,12"
1531800,Retro Racer,2021-05-21,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation","Single-player, Family Sharing, Profile Features Limited",3023,2486,"3,12"
1532080,HeadCount,2022-04-18,"Action, Adventure, Casual, Indie","Single-player, Tracked Controller Support, VR Only, Family Sharing",14136,11701,"49,74"
1532200,Mars First Logistics,2023-06-21,"Indie, Simulation, Early Access","Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",19102,15814,"52,8"
1532250,The Catacombs of Solaris Revisited,2021-02-17,"Adventure, Casual","Single-player, Family Sharing",9962,15814,"23,94"
1532460,The Fridge is Red,2022-09-27,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",247,18188,"41,4"
1532520,Day Repeat Day,2021-04-13,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",11580,9576,24
1532760,Jigsaw Pieces 3 - Fantasy,2021-06-18,"Adventure, Casual, Indie","Single-player, Captions available, Stats, Family Sharing, Profile Features Limited",8920,4478,"20,94"
1533420,Neon White,2022-06-16,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",1203,1034,"62,94"
1534200,Nothing,2021-03-18,"Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",8325,6809,"5,1"
1534260,TitTok,2021-09-20,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing, Profile Features Limited",19234,15929,78
1534770,DrakulA,2021-02-25,"Casual, Indie","Single-player, Family Sharing, Profile Features Limited",10682,8879,"3,12"
1535090,VR Kyoto: Beauty of Japan,2021-02-16,Casual,"Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",23785,19661,"7,5"
1536000,Breath of Spirits,2021-06-20,"Action, Adventure, Casual, Indie","Single-player, Online Co-op, Steam Achievements, Tracked Controller Support, VR Only, Stats, Family Sharing, Profile Features Limited",9170,7575,"27,54"
1537910,Chaos Galaxy 2,2023-01-05,"Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",9246,3171,"52,8"
1538910,Old Evil,2021-07-14,"Action, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",22776,18775,"20,7"
1538970,Hammerwatch II,2023-08-15,"Action, Adventure, Indie, RPG","Single-player, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",4598,11162,"61,44"
1539140,STONKS-9800: Stock Market Simulator,2023-07-17,"Indie, Simulation, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing",21539,17774,"28,8"
1540210,Arizona Sunshine® 2,2023-12-07,"Action, Adventure","Single-player, Online Co-op, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",23098,19064,"227,94"
1540330,MUMBA IV: Egypt Jewels ©,2021-12-13,"Action, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",675,600,"9,3"
1541240,BOOOOOOOOOOOOOOOUNCE,2021-02-22,"Casual, Indie","Single-player, Family Sharing, Profile Features Limited",10682,8879,"3,12"
1541850,Endless Furry Clicker,2021-02-20,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing, Profile Features Limited",21472,17714,"3,12"
1542110,Daydream: Forgotten Sorrow,2023-06-14,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing",7971,14571,"44,34"
1542440,Kosmonavtes: Escape Reality,2021-02-19,"Adventure, Casual, Indie","Single-player, Steam Achievements, Family Sharing, Profile Features Limited",12516,10359,"9,3"
1543090,LiBER,2022-01-11,"Action, Adventure, Indie","Single-player, Family Sharing, Profile Features Limited",15535,12880,"20,94"
1543830,The Addams Family: Mansion Mayhem,2021-09-24,Action,"Single-player, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, Family Sharing",16386,13160,"53,94"
1544380,VR Galactic Roller Coaster,2021-02-25,"Action, Casual","Single-player, Tracked Controller Support, VR Only, Family Sharing, Profile Features Limited",23785,19661,"7,5"
1544540,ALONE,2021-05-31,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",5025,14201,"3,12"
1544580,Would you like to run an idol café?,2021-06-07,Simulation,"Single-player, Steam Achievements, Family Sharing",20246,19695,"20,94"
1545350,Caribbean Jigsaw,2021-03-15,Casual,"Single-player, Family Sharing",4709,266,15
1545620,Arcane Arts Academy,2021-02-25,"Adventure, Casual, Strategy","Single-player, Steam Achievements, Family Sharing",20126,6794,"48,6"
1546100,A Musical Story,2022-03-04,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Family Sharing",8713,4619,"27,54"
1546710,Vernal Edge,2023-03-14,"Action, Adventure","Single-player, Steam Achievements, Steam Cloud, Family Sharing",9472,13618,75
1546940,Beard Blade,2021-07-20,"Action, Indie","Single-player, Family Sharing",8734,7192,"31,74"
1547340,Puzzle Car,2021-02-27,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing, Profile Features Limited",18122,15015,"6,3"
1547440,Let Them Fall,2023-10-29,"Action, Casual, Indie, Simulation, Strategy","Single-player, Family Sharing, Profile Features Limited",13236,10972,15
1547820,TOP TRUCK DRIVER,2021-02-23,"Casual, Indie, Racing, Simulation","Single-player, Family Sharing, Profile Features Limited",20279,13621,"20,94"
1547860,EBOLA 3,2022-09-19,"Action, Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",10267,8523,"52,8"
1547930,Romeo Must Live,2021-03-08,"Casual, Indie","Single-player, Family Sharing, Profile Features Limited",12462,10313,"20,7"
1548050,Presence,2021-03-24,Indie,"Single-player, Steam Achievements, Family Sharing, Profile Features Limited",23321,7579,"6,3"
1548540,Z.O.M.B.I.E.,2021-03-05,"Action, Adventure, Casual, Indie, Simulation","Single-player, Family Sharing, Profile Features Limited",12730,7653,"3,12"
